,债券代码,债券简称,申购日期,申购代码,申购上限(万元),正股代码,正股简称,正股价,转股价,转股价值,债现价,转股溢价率,股权登记日,每股配售额,发行规模(亿元),中签号发布日,中签率,上市时间,信用评级
0,127092,运机转债,2023-09-21 00:00:00,071288,1000,001288,运机集团,16.92,17.67,95.7555,-,4.43,2023-09-20 00:00:00,4.5625,7.3,2023-09-25 00:00:00,,,AA-
1,123224,宇邦转债,2023-09-19 00:00:00,371266,1000,301266,宇邦新材,47.25,52.9,89.3195,-,11.96,2023-09-18 00:00:00,4.8076,5.0,2023-09-21 00:00:00,0.0009705603,,A+
2,123223,九典转02,2023-09-15 00:00:00,370705,1000,300705,九典制药,21.85,21.85,100.0,-,0.0,2023-09-14 00:00:00,1.0451,3.6,2023-09-19 00:00:00,0.0006352217,,A+
3,113677,华懋转债,2023-09-14 00:00:00,754306,1000,603306,华懋科技,29.51,34.18,86.337,-,15.83,2023-09-13 00:00:00,3.249,10.5,2023-09-18 00:00:00,0.00326065,,AA-
4,118045,盟升转债,2023-09-12 00:00:00,718311,1000,688311,盟升电子,40.3,42.72,94.3352,-,6.0,2023-09-11 00:00:00,1.876,3.0,2023-09-14 00:00:00,0.00089357,,AA-
5,118044,赛特转债,2023-09-11 00:00:00,718398,1000,688398,赛特新材,31.44,35.41,88.7885,-,12.63,2023-09-08 00:00:00,3.81,4.42,2023-09-13 00:00:00,0.00056949,,A+
6,123222,博俊转债,2023-09-08 00:00:00,370926,1000,300926,博俊科技,24.77,24.37,101.6414,-,-1.61,2023-09-07 00:00:00,1.7932,5.0,2023-09-12 00:00:00,0.0010404561,,A+
7,127091,科数转债,2023-08-23 00:00:00,072335,1000,002335,科华数据,29.36,34.67,84.6842,121.077,42.97,2023-08-22 00:00:00,3.2326,14.92068,2023-08-25 00:00:00,0.0052497071,2023-09-12 00:00:00,AA
8,123221,力诺转债,2023-08-23 00:00:00,371188,1000,301188,力诺特玻,12.44,14.4,86.3889,116.555,34.92,2023-08-22 00:00:00,2.1513,5.0,2023-08-25 00:00:00,0.0018983056,2023-09-14 00:00:00,A+
9,123220,易瑞转债,2023-08-18 00:00:00,370942,1000,300942,易瑞生物,12.68,12.87,98.5237,126.055,27.94,2023-08-17 00:00:00,0.8187,3.281967,2023-08-22 00:00:00,0.0028761396,2023-09-06 00:00:00,A+
10,113676,荣23转债,2023-08-18 00:00:00,754165,1000,603165,荣晟环保,15.81,15.74,100.4447,140.628,39.97,2023-08-17 00:00:00,2.127,5.76,2023-08-22 00:00:00,0.00080245,2023-09-13 00:00:00,AA-
11,111017,蓝天转债,2023-08-15 00:00:00,713368,1000,605368,蓝天燃气,10.23,10.13,100.9872,124.81,23.59,2023-08-14 00:00:00,1.255,8.7,2023-08-17 00:00:00,0.00084259,2023-09-08 00:00:00,AA
12,118043,福立转债,2023-08-14 00:00:00,718678,1000,688678,福立旺,17.88,21.28,84.0226,120.722,43.68,2023-08-11 00:00:00,4.065,7.0,2023-08-16 00:00:00,0.00147242,2023-09-12 00:00:00,AA-
13,123219,宇瞳转债,2023-08-11 00:00:00,370790,1000,300790,宇瞳光学,13.61,15.32,88.8381,120.969,36.17,2023-08-10 00:00:00,1.7731,6.0,2023-08-15 00:00:00,0.0011856348,2023-08-29 00:00:00,A+
14,113675,新23转债,2023-08-11 00:00:00,754179,1000,603179,新泉股份,49.01,51.35,95.443,130.263,36.48,2023-08-10 00:00:00,2.38,11.6,2023-08-15 00:00:00,0.0028089,2023-09-05 00:00:00,AA-
15,118042,奥维转债,2023-08-10 00:00:00,718516,1000,688516,奥特维,138.29,180.9,76.4456,115.267,50.78,2023-08-09 00:00:00,7.399,11.4,2023-08-14 00:00:00,0.00203912,2023-09-01 00:00:00,AA-
16,123218,宏昌转债,2023-08-10 00:00:00,371008,1000,301008,宏昌科技,27.81,29.62,93.8893,282.964,201.12,2023-08-09 00:00:00,4.75,3.8,2023-08-14 00:00:00,0.000438974,2023-08-30 00:00:00,A+
17,110095,双良转债,2023-08-08 00:00:00,733481,1000,300852,四会富仕,37.74,41.77,90.3519,123.285,36.45,2023-08-07 00:00:00,5.592,5.7,2023-08-10 00:00:00,0.0007508153,2023-08-24 00:00:00,AA-
19,123216,科顺转债,2023-08-04 00:00:00,370737,1000,300737,科顺股份,7.5,10.26,73.0994,116.079,58.8,2023-08-03 00:00:00,1.8877,21.98,2023-08-08 00:00:00,0.0045649054,2023-08-23 00:00:00,AA
20,123215,铭利转债,2023-08-03 00:00:00,37126,1000,600481,双良节能,10.13,12.13,83.512,115.489,38.29,2023-08-07 00:00:00,1.389,26.0,2023-08-10 00:00:00,0.00551815,2023-09-08 00:00:00,AA
18,123217,富仕转债,2023-08-08 00:00:00,3708528,1000,301268,铭利达,27.55,37.67,73.1351,116.374,59.12,2023-08-02 00:00:00,2.4999,10.0,2023-08-07 00:00:00,0.0018818159,2023-08-23 00:00:00,AA-
21,123214,东宝转债,2023-07-31 00:00:00,370239,1000,300239,东宝生物,6.25,6.67,93.7031,119.05,27.05,2023-07-28 00:00:00,0.7665,4.55,2023-08-02 00:00:00,0.0019172228,2023-08-18 00:00:00,A+
22,118041,星球转债,2023-07-31 00:00:00,718633,1000,688633,星球石墨,32.27,33.12,97.4336,133.658,37.18,2023-07-28 00:00:00,5.964,6.2,2023-08-02 00:00:00,0.00054951,2023-08-22 00:00:00,A+
23,123213,天源转债,2023-07-28 00:00:00,371127,1000,301127,天源环保,9.7,10.3,94.1748,116.6,23.81,2023-07-27 00:00:00,2.3786,10.0,2023-08-01 00:00:00,0.0037859869,2023-08-16 00:00:00,AA-
24,113068,金铜转债,2023-07-28 00:00:00,783609,1000,601609,金田股份,6.71,6.75,99.4074,121.0,21.72,2023-07-27 00:00:00,1.009,14.5,2023-08-01 00:00:00,0.00313136,2023-08-28 00:00:00,AA+
25,123210,信服转债,2023-07-27 00:00:00,370454,1000,300454,深信服,93.47,111.74,83.6048,126.2,50.95,2023-07-26 00:00:00,2.9227,12.14756,2023-07-31 00:00:00,0.0024586282,2023-08-18 00:00:00,AA
26,113067,燃23转债,2023-07-27 00:00:00,783139,1000,601139,深圳燃气,6.79,7.72,87.9534,122.908,39.74,2023-07-26 00:00:00,1.042,30.0,2023-07-31 00:00:00,0.01104675,2023-08-18 00:00:00,AAA
