股票代码,股票名称,当前价,涨跌额,涨跌幅,年初至今,成交量,成交额,换手率,市盈(TTM),股息率,市值
SH600895,张江高科,23.74,+2.16,10.01%,111.69%,279573440,6497651227,18.05%,30.824,0.674%,36765889917
SH601127,赛力斯,44.26,+0.56,1.28%,10.68%,90047433,4017838163,5.97%,-19.93,,66716221295
SH601698,中国卫通,19.47,+0.21,1.09%,70.9%,157003650,3136064851,3.72%,91.133,0.226%,82248783972
SH600276,恒瑞医药,43.07,+2.49,6.14%,12.17%,72248308,3081798957,1.13%,67.089,0.372%,274743627941
SH600519,贵州茅台,1822.01,+3.51,0.19%,7.13%,1472300,2683350416,0.12%,33.22,1.423%,2288804953578
SH601138,工业富联,19.5,+0.42,2.2%,117.71%,131396739,2543394416,0.66%,19.034,2.821%,387381827313
SH603000,人民网,37.83,-0.39,-1.02%,125.37%,66093161,2504117062,5.98%,153.911,0.43%,41828292648
SH603019,中科曙光,40.38,+1.78,4.61%,83.19%,60643202,2427492282,4.17%,36.551,0.743%,59099318970
SH600030,中信证券,22.6,+0.35,1.57%,15.92%,106908463,2404321738,0.94%,15.639,2.167%,334944358335
SH601318,中国平安,50.44,+0.32,0.64%,10.67%,46958696,2361040332,0.44%,11.086,4.829%,918524233577
SH601012,隆基绿能,26.67,+0.35,1.33%,-36.03%,87221312,2309003425,1.15%,11.552,1.5%,202195996114
SH600415,小商品城,9.71,+0.88,9.97%,86.82%,220648382,2088380992,4.04%,28.322,0.669%,53269780249
SH601099,太平洋,3.99,-0.02,-0.5%,55.25%,525033892,2077894692,7.7%,-157.324,,27197102316
SH600036,招商银行,32.96,-0.21,-0.63%,-6.66%,59709240,1974133545,0.29%,5.759,5.275%,831246111009
SH600919,江苏银行,7.03,+0.1,1.44%,3.25%,275401769,1930232103,1.74%,3.854,6.809%,112036301332
SH601727,上海电气,5.07,+0.34,7.19%,28.68%,388351590,1900012625,3.07%,-39.719,,78989632096
SH601136,首创证券,23.89,-1.26,-5.01%,38.29%,70217703,1684159288,25.69%,111.405,0.779%,65299344482
SH603220,中贝通信,27.17,+0.12,0.44%,167.67%,60807603,1625859766,18.22%,66.682,0.517%,9139134210
SH600155,华创云信,7.72,+0.52,7.22%,18.77%,199386476,1539925486,8.82%,32.738,,17458190516
SH600602,云赛智联,15,+1.2,8.7%,72.7%,96178744,1416915183,8.95%,112.312,0.267%,20515101825
SH601688,华泰证券,16.76,+0.5,3.08%,34.93%,83029336,1382013809,1.13%,12.427,2.688%,152106872093
SH600360,华微电子,8.15,+0.59,7.8%,24.01%,167220083,1356024459,17.41%,270.095,0.221%,7826406728
SH601888,中国中免,110.3,+1.9,1.75%,-48.58%,12376883,1352365765,0.63%,46.012,0.726%,228195152553
SH603005,晶方科技,22.44,+0.01,0.04%,21.39%,55019547,1246397382,8.44%,129.116,0.312%,14644685671
SH603075,N热威,38.86,+15.76,68.23%,68.23%,27030891,1193668508,69.66%,60.315,,15544388600
SH600150,中国船舶,27.94,+0.53,1.93%,25.48%,42027328,1167055528,0.94%,236.124,0.072%,124959659499
SH603083,剑桥科技,46.36,+1.65,3.69%,312.46%,25118419,1155281737,9.64%,29.979,,12429345065
SH600760,中航沈飞,44.01,-1.19,-2.63%,5.8%,25789011,1129512093,0.94%,45.255,0.65%,121278335567
SH603306,华懋科技,35.33,+3.21,9.99%,-4.98%,31211132,1064762443,9.6%,55.518,0.529%,11492179567
SH601899,紫金矿业,12.99,+0.11,0.85%,32.12%,79914935,1039169392,0.39%,19.32,1.923%,341982160408
SH600732,爱旭股份,22.9,+0.49,2.19%,-14.06%,45378907,1037123550,2.84%,13.765,1.715%,41859625144
SH600809,山西汾酒,257.17,+1.64,0.64%,-8.26%,3884494,998997808,0.32%,31.866,1.291%,313738198972
SH601059,信达证券,18.13,-0.2,-1.09%,120.2%,56060691,998019705,17.29%,40.4,0.243%,58795590000
SH601360,三六零,10.79,+0.16,1.51%,64.98%,92084807,992002714,1.29%,-37.199,,77098468896
SH603259,药明康德,77.5,+1.3,1.71%,-3.07%,12791434,991285864,0.5%,24.227,1.152%,230062831538
SH600850,电科数字,24.48,-2.72,-10%,23.47%,39475482,979597568,7.11%,32.674,1.225%,16770619990
SH601555,东吴证券,8.6,+0.19,2.26%,34.6%,113885078,971676483,2.27%,18.648,1.837%,43064522799
SH600114,东睦股份,11.44,-0.15,-1.29%,36.35%,85335193,969933616,13.84%,49.068,0.876%,7051426977
SH600048,保利发展,13.73,-0.24,-1.72%,-6.24%,69227431,949380161,0.58%,8.328,3.28%,164354188129
