,日期,星期,最高气温,最低气温,天气,风向,级数
0,2022-08-01,星期一,34℃,25℃,小雨,东南风,1级
1,2022-08-02,星期二,35℃,26℃,雾,东南风,2级
2,2022-08-03,星期三,36℃,28℃,雾,东南风,2级
3,2022-08-04,星期四,37℃,27℃,小雨,西南风,6级
4,2022-08-05,星期五,36℃,28℃,多云,南风,2级
5,2022-08-06,星期六,36℃,29℃,多云,南风,2级
6,2022-08-07,星期日,35℃,29℃,多云,南风,3级
7,2022-08-08,星期一,36℃,28℃,多云,西南风,3级
8,2022-08-09,星期二,32℃,23℃,雾,北风,3级
9,2022-08-10,星期三,30℃,26℃,雾,西南风,1级
10,2022-08-11,星期四,36℃,27℃,雾,东风,3级
11,2022-08-12,星期五,37℃,28℃,晴,南风,2级
12,2022-08-13,星期六,37℃,27℃,多云,南风,2级
13,2022-08-14,星期日,37℃,28℃,多云,西南风,2级
14,2022-08-15,星期一,38℃,26℃,多云,西北风,3级
15,2022-08-16,星期二,32℃,24℃,雾,东北风,2级
16,2022-08-17,星期三,32℃,26℃,多云,东风,2级
17,2022-08-18,星期四,37℃,28℃,多云,南风,2级
18,2022-08-19,星期五,37℃,26℃,多云,北风,2级
19,2022-08-20,星期六,33℃,26℃,多云,东风,2级
20,2022-08-21,星期日,36℃,27℃,雾,东风,2级
21,2022-08-22,星期一,36℃,25℃,多云,北风,3级
22,2022-08-23,星期二,27℃,21℃,多云,东北风,1级
23,2022-08-24,星期三,31℃,21℃,多云,东北风,1级
24,2022-08-25,星期四,31℃,21℃,多云,东北风,2级
25,2022-08-26,星期五,25℃,23℃,小雨,北风,1级
26,2022-08-27,星期六,22℃,20℃,小雨,东北风,2级
27,2022-08-28,星期日,21℃,17℃,小雨,东北风,2级
28,2022-08-29,星期一,22℃,20℃,小雨,北风,2级
29,2022-08-30,星期二,20℃,17℃,中雨,北风,2级
30,2022-08-31,星期三,25℃,18℃,雾,西风,1级
